Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Angulo-Gastelum et al.,2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (02),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",Ornitologia Neotropical,0.293,"Neotropical Ornithological Society, USGS Patuxent Wildlife Research Centre",NA,NA,YES,YES,NO,2007,2007,1,Charadriiformes,Laridae,Royal Tern,Thalasseus_maximus/Sterna_maxima,Thalasseus_maximus,Sterna maxima,Sterna_maxima,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"﻿Isla El Rancho, Sinaloa, Mexico","﻿25°10’N, 108°23’W",25.1666670,-108.3833330,Wild,Unmanaged,Large colony,None,Natural,No,No,No,No,No,No,No,No,2.941176471,97.05882353,0.00,0.00,,,,1.047619048,1.047619048,1.047619048,1.047619048,0.176091259,1.5,NA,NA,NA,NA,NA,63,NA,63,68,66,66,66,94.5,NA,NA,68,66,0.970588235,Not stated,Not stated,Not stated,NA,NA,NA,,12 eggs lost to predation (excluded)
Antczak et al.,2004,Antczak et al. 2004,Antczak et al. 2004,Breeding Biology of the Great Grey Shrike Lanius excubitor in W Poland,Acta Ornithologica,1.051,"Museum and Institute of Zoology, Polish Academy of Sciences",﻿10.3161/068.039.0105,NA,YES,YES,NO,1999,2003,5,Passeriformes,Laniidae,Great Grey Shrike,Lanius_excubitor,Lanius_excubitor,Lanius excubitor,Lanius_excubitor,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Near ﻿Odolanów and near Koło, Poland","﻿﻿51°34’N, 17°40’E and 52°12’N, 18°39’E",51.8833335,18.1583335,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,7.476635514,92.52336449,0.00,0.00,,,,6.6 ± 0.96,5.64,7.56,6.6,0.718086295,5.225,NA,NA,NA,NA,NA,NA,16,16,107,90.24,120.96,105.6,83.6,NA,NA,107,99,0.925233645,"""","Ratio between number of nestlings hatched, to the number of eggs laid",Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA,,Implied failed nests excluded
Aourir et al.,2008,Aourir et al. 2008,Aourir et al. 2008 (01),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,Zoo Biology,0.943,Wiley,﻿10.1002/zoo.20185,Found via Dataset Search - 'egg hatching success',YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco; Breeder stock from wild-laid eggs collected in ""Haouz plain"", west central Morocco (31.47°N, 7.59°W)",NA,31.6640670,-8.0006780,Captive,Managed,1 year old,Captive; egg-pulling; artificial incubation,Artificial,No,Yes,No,No,No,No,Yes,No,62.5,37.5,0.00,0.00,,,,2.23 ± 0.43,1.8,2.66,2.23,0.45331834,2.84,NA,NA,NA,NA,NA,NA,14,14,32,25.2,37.24,31.22,39.76,NA,NA,32,12,0.375,NA,NA,NA,Not stated,Not stated,NA,,HS% calculated from Table 4
Aourir et al.,2008,Aourir et al. 2008,Aourir et al. 2008 (02),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,Zoo Biology,0.943,Wiley,﻿10.1002/zoo.20185,Found via Dataset Search - 'egg hatching success',YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco; Breeder stock from wild-laid eggs collected in ""Haouz plain"", west central Morocco (31.47°N, 7.59°W)",NA,31.6640670,-8.0006780,Captive,Managed,3 years old,Captive; egg-pulling; artificial incubation,Artificial,No,Yes,No,No,No,No,Yes,No,27.77777778,72.22222222,0.00,0.00,,,,2.84 ± 0.37,2.47,3.21,2.84,0.45331834,2.84,NA,NA,NA,NA,NA,NA,19,19,54,46.93,60.99,53.96,53.96,NA,NA,54,39,0.722222222,NA,NA,NA,Not stated,Not stated,NA,,HS% calculated from Table 4
Aourir et al.,2008,Aourir et al. 2008,Aourir et al. 2008 (03),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,Zoo Biology,0.943,Wiley,﻿10.1002/zoo.20185,Found via Dataset Search - 'egg hatching success',YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco; Breeder stock from wild-laid eggs collected in ""Haouz plain"", west central Morocco (31.47°N, 7.59°W)",NA,31.6640670,-8.0006780,Captive,Managed,2 years old,Captive; egg-pulling; artificial incubation,Artificial,No,Yes,No,No,No,No,Yes,No,45.45454545,54.54545455,0.00,0.00,,,,2.75 ± 0.44,2.31,3.19,2.75,0.45331834,2.84,NA,NA,NA,NA,NA,NA,20,20,55,46.2,63.8,55,56.8,NA,NA,55,30,0.545454545,NA,NA,NA,Not stated,Not stated,NA,,HS% calculated from Table 4
Aourir et al.,2013,Aourir et al. 2013,Aourir et al. 2013 (01),Wild-laid versus captive-laid eggs in the black-bellied sandgrouse: Is there any effect on chick productivity?,Zoo Biology,0.943,Wiley,﻿10.1002/zoo.21095,NA,YES,NO,YES,2003,2004,2,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Haouz plain, West central Morocco (laid); Natural History Museum of Marrakech, Cadi Ayyad University, Morrocco (hatched)",NA,31.6640670,-8.0006780,Wild managed,Managed,,Artificial incubation,Artificial,No,No,No,No,No,No,Yes,No,45.29,54.71,0.00,0.00,,,,NA,NA,NA,NA,0.45331834,2.84,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,53,28.9963,0.5471,NA,NA,NA,Number of released chicks/total number of incubated eggs (percentage),Percentage/Proportion of eggs that hatched out of incubated eggs [Hatchability of incubated eggs]; Percentage/Proportion of eggs that hatched out of fertilised eggs [Hatchability of fertile eggs],NA,,
Aourir et al.,2013,Aourir et al. 2013,Aourir et al. 2013 (02),Wild-laid versus captive-laid eggs in the black-bellied sandgrouse: Is there any effect on chick productivity?,Zoo Biology,0.943,Wiley,﻿10.1002/zoo.21095,NA,YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco (hatched)",NA,31.6640670,-8.0006780,Captive,Managed,Parents from wild-laid and captive-reared eggs (above),Captive; artificial incubation,Artificial,No,Yes,No,No,No,No,Yes,No,42.56,57.44,0.00,0.00,,,,NA,NA,NA,NA,0.45331834,2.84,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,141,80.9904,0.5744,NA,NA,NA,Number of released chicks/total number of incubated eggs (percentage),Percentage/Proportion of eggs that hatched out of incubated eggs [Hatchability of incubated eggs]; Percentage/Proportion of eggs that hatched out of fertilised eggs [Hatchability of fertile eggs],NA,,
Aragones,2004,Aragones 2004,Aragones 2004,Breeding biology of the Red-necked Nightjar Caprimulgus ruficollis in southern Spain,Ardeola,0.912,Sociedad Española de Ornitología (SEO/BirdLife),NA,NA,YES,YES,NO,1994,1995,2,Caprimulgiformes,Caprimulgidae,Red-necked Nightjar,Caprimulgus_ruficollis,Caprimulgus_ruficollis,Caprimulgus ruficollis,Caprimulgus_ruficollis,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Córdoba, Southern Spain","﻿37°55′N, 4°55′E",37.9166670,4.9166670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,8.108108108,91.89189189,0.00,0.00,,,,1.85 ± 0.37,1.48,2.22,1.85,NA,NA,NA,NA,NA,NA,NA,20,NA,20,37,29.6,44.4,37,NA,NA,NA,37,34,0.918918919,"""",Proportion of eggs that hatched,Percentage/Proportion of eggs that hatched,NA,NA,NA,Successful nests only,
Astie & Luchesi,2012,Astie & Luchesi 2012,Astie & Luchesi 2012,Reproductive success of the Creamy-Bellied Thrush in a southern temperate zone,The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/11-028.1,NA,YES,YES,NO,1999,2002,3,Passeriformes,Turdidae,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,Turdus amaurochalinus,Turdus_amaurochalinus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"﻿Guay-mallén, Mendoza Province, Argentina","32° 51' S, 68° 42' W",-32.8500000,-68.7000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,26,74,3.00,NA,,,,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,109,NA,109,NA,327,327,327,NA,NA,NA,327,241.98,0.74,"""",Proportion of eggs that hatched divided by the number of eggs in the nest at the end of incubation,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,"Only considered nests found in building, laying, or incubation stages where at least one egg hatched (n = 109 nests); ﻿Egg survival was calculated as the proportion of eggs present in the nest at the end of incubation divided by the number of eggs in the nest at the start of incubation",﻿Proportion of eggs that did not hatch (0.26) and this may be caused by infertility or by death of the embryo caused by insufficient incubation
Astie & Reboreda,2006,Astie & Reboreda 2006,Astié & Reboreda 2006 (01),Costs of egg punctures and parasitism by Shiny Cowbirds (Molothrus Bonariensis) at Creamy-Bellied Thrush (Turdus Amaurochalinus) nests,The Auk,2.114,Oxford University Press [American Ornithological Society],NA,NA,YES,YES,YES,1999,2002,4,Passeriformes,Turdidae,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,Turdus amaurochalinus,Turdus_amaurochalinus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Guaymallén, Mendoza Province, Argentina","﻿32°51'S, 68°42'W",-32.8500000,-68.7000000,Wild,Unmanaged,Parasitised by Shiny Cowbirds - eggs not punctured,None,Natural,No,No,No,No,No,No,No,No,32.58064516,67.41935484,6.77,NA,,,,3.1 ± 0.07,3.03,3.17,3.1,NA,NA,NA,NA,NA,NA,NA,28,NA,28,NA,84.84,88.76,86.8,NA,NA,NA,86.8,58.52,0.674193548,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,Not stated,NA,,HS% extracted from Figure 3 using WebPlotDigitizer
Astie & Reboreda,2006,Astie & Reboreda 2006,Astié & Reboreda 2006 (02),Costs of egg punctures and parasitism by Shiny Cowbirds (Molothrus Bonariensis) at Creamy-Bellied Thrush (Turdus Amaurochalinus) nests,The Auk,2.114,Oxford University Press [American Ornithological Society],NA,NA,YES,YES,YES,1999,2002,4,Passeriformes,Turdidae,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,Turdus amaurochalinus,Turdus_amaurochalinus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Guaymallén, Mendoza Province, Argentina","﻿32°51'S, 68°42'W",-32.8500000,-68.7000000,Wild,Unmanaged,Not parasitised by Shiny Cowbirds - eggs not punctured,None,Natural,No,No,No,No,No,No,No,No,10,90,3.39,NA,,,,3.1 ± 0.07,3.03,3.17,3.1,NA,NA,NA,NA,NA,NA,NA,23,NA,23,NA,69.69,72.91,71.3,NA,NA,NA,71.3,64.17,0.9,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,Not stated,NA,,HS% extracted from Figure 3 using WebPlotDigitizer
Ballantune & Nol,2011,Ballantune & Nol 2011,Ballantune & Nol 2011,"Nesting habitat selection and hatching success of Whimbrels near Churchill, Manitoba, Canada",Waterbirds,0.584,The Waterbird Society,﻿10.1675/063.034.0203,NA,YES,YES,NO,2007,2008,2,Charadriiformes,Scolopacidae,Whimbrel/Icelandic Whimbrel,Numenius_phaeopus,Numenius_phaeopus,Numenius phaeopus,Numenius_phaeopus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Churchill, Manitoba, Canada","﻿58°44’N, 94°4’W",58.7333330,-94.0666670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,4.62962963,95.37037037,0.00,0.00,,,,NA,NA,NA,NA,0.592454351,3.9125,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,108,103,0.953703704,"""",Number of nests with ≥ 1 egg hatched/total number of nests,Percentage/Proportion of successful clutches/nests (at least one egg hatched) out of total monitored clutches/nests,NA,NA,NA,HS definition is per nest but also report proportion of monitored eggs that hatched,"Recalculated HS % from text - (2008) 58/151 known eggs hatched and 5 were left in nest unhatched; (2009) 45/122 known eggs hatched, doesn't mention any left unhatched"
